areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
All Downtown,Manhattan,submarket,3200.0,3200.0,3015.0,3100.0,3100.0,3200.0,3195.0,3197.5,3400.0,3495.0,3450.0,3400.0,3350.0,3395.0,3300.0,3300.0,3377.5,3400.0,3375.0,3495.0,3600.0,3650.0,3550.0,3495.0,3450.0,3450.0,3500.0,3500.0,3550.0,3550.0,3500.0,3550.0,3600.0,3600.0,3650.0,3650.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3550.0,3650.0,3650.0,3695.0,3600.0,3615.0,3600.0,3600.0,3650.0,3645.0,3595.0,3595.0,3595.0,3645.0,3600.0,3600.0,3600.0,3600.0,3640.5,3650.0,3700.0,3750.0,3700.0,3700.0,3767.0,3795.0,3800.0,3750.0,3770.0,3700.0,3700.0,3750.0,3795.0,3800.0,3850.0,3880.0,3795.0,3795.0,3750.0,3700.0,3650.0,3650.0,3700.0,3695.0,3700.0,3785.0,3723.0,3725.0,3700.0,3653.0,3662.0,3673.0,3620.0,3650.0,3750.0,3734.5,3750.0,3837.0,3800.0,3795.0,3800.0,3825.0,3800.0,3850.0,3799.0,3800.0,3850.0,3800.0,3938.0,4000.0,4050.0,4000.0,3995.0,4000.0,4050.0,4050.0,4000.0,4000.0,3999.0,3995.0,3850.5,3700.0,3605.0,3500.0,3395.0,3295.0,3200.0,3140.0,3150.0,3150.0,3195.0,3200.0,3215.0,3350.0,3595.0,3800.0,4000.0,4195.0,4300.0,4362.0,4400.0,4500.0,4595.0,4595.0,4728.0,4800.0,4770.0,4800.0,4800.0,4870.0,4850.0,4795.0,4800.0,4823.0,4950.0,4800.0,4870.0,4950.0,4950.0,4895.0,4805.0,4841.0,4700.0,4700.0,4750.0,4800.0,4850.0,4895.0,4955.0,5000.0,4995.0,4950.0,4900.0,4900.0,4925.0,4895.0,4904.0,5000.0,5020.5,5000.0,5193.5,5250.0,5300.0,5439.0,5400.0,5310.0,5303.0,5350.0,5350.0
All Midtown,Manhattan,submarket,2875.0,2800.0,2800.0,2850.0,2895.0,2950.0,3000.0,3000.0,3100.0,3100.0,3150.0,3150.0,3155.0,3195.0,3195.0,3200.0,3250.0,3300.0,3335.0,3300.0,3350.0,3375.0,3395.0,3350.0,3300.0,3250.0,3250.0,3320.0,3395.0,3395.0,3395.0,3400.0,3400.0,3400.0,3440.0,3450.0,3400.0,3400.0,3400.0,3390.0,3353.0,3395.0,3350.0,3395.0,3400.0,3399.0,3395.0,3400.0,3350.0,3390.0,3395.0,3400.0,3450.0,3450.0,3400.0,3400.0,3400.0,3450.0,3495.0,3500.0,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,3510.0,3500.0,3558.5,3500.0,3500.0,3500.0,3495.0,3500.0,3500.0,3550.0,3575.0,3500.0,3525.0,3500.0,3546.5,3500.0,3500.0,3500.0,3470.0,3495.0,3462.0,3500.0,3501.0,3530.0,3500.0,3500.0,3500.0,3500.0,3350.0,3350.0,3380.0,3395.0,3390.0,3450.0,3500.0,3500.0,3500.0,3500.0,3500.0,3529.5,3500.0,3550.0,3500.0,3550.0,3536.5,3579.0,3625.0,3676.0,3700.0,3702.5,3700.0,3685.5,3701.0,3700.0,3700.0,3700.0,3692.5,3555.0,3381.0,3245.0,3100.0,3000.0,2975.0,2900.0,2895.0,2895.0,2900.0,2932.0,2995.0,3000.0,3160.0,3268.0,3495.0,3600.0,3850.0,3950.0,4095.0,4150.0,4306.0,4322.5,4300.0,4395.0,4400.0,4395.0,4450.0,4294.0,4350.0,4285.0,4259.0,4350.0,4360.0,4490.5,4482.0,4540.0,4500.0,4500.0,4495.0,4500.0,4486.5,4355.0,4310.0,4335.0,4440.0,4415.0,4400.0,4495.0,4550.0,4525.0,4500.0,4500.0,4482.0,4450.0,4400.0,4500.0,4505.0,4595.0,4590.0,4691.5,4750.0,4850.0,4869.5,4800.0,4750.0,4695.0,4650.0,4650.0
All Upper East Side,Manhattan,submarket,2450.0,2450.0,2400.0,2500.0,2565.0,2570.0,2595.0,2500.0,2582.5,2550.0,2500.0,2550.0,2500.0,2500.0,2450.0,2500.0,2600.0,2695.0,2650.0,2695.0,2795.0,2800.0,2800.0,2800.0,2700.0,2699.5,2695.0,2695.0,2695.0,2750.0,2695.0,2700.0,2800.0,2795.0,2837.0,2800.0,2795.0,2800.0,2795.0,2750.0,2750.0,2750.0,2700.0,2800.0,2875.0,2850.0,2800.0,2800.0,2700.0,2775.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2750.0,2750.0,2800.0,2825.0,2850.0,2900.0,2895.0,2850.0,2950.0,2990.0,2950.0,2995.0,3000.0,2995.0,2900.0,2950.0,2995.0,2960.0,3000.0,2997.0,3000.0,2995.0,2975.0,2900.0,2950.0,2950.0,2975.0,3000.0,2975.0,2995.0,2925.0,2950.0,2950.0,2950.0,2925.0,2900.0,2995.0,2947.5,2990.0,2975.0,2900.0,2895.0,2850.0,2845.0,2850.0,2900.0,2900.0,2900.0,2888.0,2992.5,2995.0,3000.0,3000.0,3000.0,2995.0,2990.0,2995.0,3000.0,3037.5,2995.0,2995.0,3100.0,3200.0,3275.0,3252.5,3250.0,3250.0,3150.0,3037.5,2950.0,2800.0,2700.0,2650.0,2500.0,2495.0,2499.0,2450.0,2450.0,2400.0,2400.0,2470.0,2495.0,2550.0,2700.0,2850.0,2950.0,3200.0,3350.0,3450.0,3550.0,3400.0,3400.0,3500.0,3500.0,3550.0,3750.0,3750.0,3800.0,3836.0,3820.0,3900.0,4000.0,4000.0,3995.0,4000.0,4000.0,4000.0,3995.0,4000.0,3995.0,3999.5,3950.0,3930.0,3995.0,3945.0,3900.0,3925.0,3900.0,3950.0,3900.0,3900.0,3900.0,3950.0,3950.0,3950.0,3999.0,3995.0,4000.0,4150.0,4200.0,4200.0,4200.0,4200.0,4137.5,4250.0,4395.0
All Upper Manhattan,Manhattan,submarket,1825.0,1800.0,1795.0,1800.0,1823.0,1850.0,1875.0,1850.0,1895.0,1875.0,1848.5,1850.0,1850.0,1800.0,1875.0,1895.0,1900.0,1950.0,1950.0,1983.0,1995.0,1990.0,1995.0,2000.0,2000.0,2000.0,1999.5,2000.0,1995.0,1995.0,2000.0,2050.0,2000.0,1995.0,2000.0,2000.0,1995.0,2000.0,2000.0,2000.0,2065.0,2100.0,2150.0,2152.5,2150.0,2019.0,2000.0,2000.0,2000.0,1995.0,2000.0,2095.0,2100.0,2100.0,2100.0,2150.0,2123.0,2150.0,2195.0,2195.0,2187.5,2200.0,2200.0,2200.0,2250.0,2295.0,2295.0,2300.0,2290.5,2275.0,2250.0,2253.0,2295.0,2291.0,2300.0,2375.0,2399.0,2350.0,2395.0,2400.0,2400.0,2399.0,2395.0,2395.0,2355.0,2300.0,2299.0,2337.0,2350.0,2350.0,2395.0,2395.0,2364.0,2350.0,2275.0,2295.0,2282.0,2295.0,2325.0,2350.0,2395.0,2400.0,2450.0,2400.0,2350.0,2350.0,2300.0,2300.0,2300.0,2350.0,2383.0,2400.0,2450.0,2500.0,2500.0,2495.0,2450.0,2395.0,2350.0,2350.0,2395.0,2400.0,2450.0,2475.0,2450.0,2438.5,2404.5,2350.0,2295.0,2250.0,2225.0,2200.0,2200.0,2195.0,2195.0,2200.0,2250.0,2299.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2400.0,2400.0,2450.0,2500.0,2550.0,2700.0,2795.0,2750.0,2700.0,2700.0,2667.5,2600.0,2650.0,2699.0,2725.0,2800.0,2850.0,2950.0,2928.5,2900.0,2857.0,2800.0,2800.0,2800.0,2800.0,2900.0,2885.0,2995.0,3000.0,3000.0,3050.0,2999.0,2900.0,2866.5,2850.0,2850.0,2895.0,2877.0,2900.0,3000.0,3195.0,3245.0,3299.5,3225.0,3208.0,3195.0,3125.0,3100.0
All Upper West Side,Manhattan,submarket,2895.0,2800.0,2750.0,2800.0,2800.0,2795.0,2800.0,2895.0,2995.0,3050.0,3000.0,2995.0,2995.0,3000.0,2950.0,3000.0,3000.0,3100.0,3100.0,3200.0,3250.0,3342.0,3386.0,3495.0,3300.0,3200.0,3047.0,3150.0,3200.0,3200.0,3250.0,3300.0,3300.0,3350.0,3350.0,3300.0,3200.0,3250.0,3200.0,3200.0,3250.0,3150.0,3199.0,3250.0,3275.0,3300.0,3200.0,3230.0,3200.0,3195.0,3200.0,3292.5,3299.0,3275.0,3200.0,3200.0,3295.0,3300.0,3280.0,3250.0,3285.0,3300.0,3260.0,3300.0,3350.0,3395.0,3400.0,3495.0,3550.0,3500.0,3500.0,3495.0,3424.0,3415.0,3425.0,3450.0,3475.0,3427.5,3461.0,3400.0,3450.0,3420.0,3395.0,3345.0,3299.0,3300.0,3265.0,3295.0,3300.0,3350.0,3350.0,3375.0,3354.0,3388.5,3319.0,3344.0,3350.0,3290.0,3250.0,3290.0,3300.0,3350.0,3319.0,3312.5,3395.0,3395.0,3350.0,3397.5,3395.0,3350.0,3395.0,3453.0,3483.0,3450.0,3400.0,3500.0,3601.5,3600.0,3650.0,3570.0,3650.0,3589.0,3543.0,3419.0,3300.0,3200.0,3150.0,3000.0,2928.0,2825.0,2800.0,2819.0,2800.0,2850.0,2800.0,2850.0,3000.0,3000.0,3200.0,3299.5,3560.0,3650.0,3800.0,3950.0,3995.0,4000.0,4100.0,4247.0,4250.0,4202.5,4425.0,4450.0,4500.0,4500.0,4500.0,4450.0,4480.0,4450.0,4495.0,4500.0,4492.5,4400.0,4500.0,4500.0,4500.0,4450.0,4367.5,4250.0,4285.0,4300.0,4412.5,4500.0,4500.0,4395.0,4450.0,4350.0,4399.5,4400.0,4295.0,4400.0,4450.0,4450.0,4500.0,4500.0,4500.0,4720.5,4799.0,4800.0,4800.0,4800.0,4800.0,4932.5
Astoria,Queens,neighborhood,1600.0,1650.0,1620.0,1600.0,1700.0,1700.0,1600.0,1600.0,1600.0,1700.0,1650.0,1650.0,1600.0,1600.0,1750.0,1825.0,1900.0,1900.0,1820.0,1900.0,1900.0,1900.0,1972.5,2000.0,2000.0,2037.5,2037.5,2112.5,2100.0,1990.0,2175.0,2250.0,2250.0,2150.0,2045.5,2000.0,2000.0,2000.0,1950.0,2000.0,2200.0,2100.0,2200.0,2150.0,2150.0,2100.0,2000.0,2037.5,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2150.0,2200.0,2200.0,2200.0,2150.0,2200.0,2200.0,2200.0,2300.0,2300.0,2250.0,2300.0,2300.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2308.5,2297.5,2275.0,2250.0,2250.0,2200.0,2200.0,2200.0,2200.0,2250.0,2300.0,2300.0,2250.0,2195.0,2200.0,2195.0,2150.0,2123.0,2100.0,2100.0,2200.0,2200.0,2246.0,2250.0,2250.0,2200.0,2175.0,2150.0,2199.0,2200.0,2200.0,2200.0,2267.5,2300.0,2350.0,2350.0,2350.0,2350.0,2300.0,2300.0,2333.0,2395.0,2300.0,2300.0,2279.5,2250.0,2200.0,2163.0,2100.0,2000.0,2000.0,1995.0,1950.0,1950.0,1925.0,1950.0,1999.0,2000.0,2100.0,2200.0,2200.0,2200.0,2200.0,2250.0,2257.5,2300.0,2350.0,2372.5,2500.0,2600.0,2650.0,2700.0,2795.0,2695.0,2600.0,2600.0,2695.0,2695.0,2750.0,2750.0,2750.0,2800.0,2878.0,2900.0,2850.0,2850.0,2833.0,2833.0,2800.0,2858.0,2900.0,2900.0,2950.0,2950.0,2950.0,2992.5,2900.0,2900.0,2900.0,2800.0,2850.0,2900.0,2975.0,3000.0,3000.0,3150.0,3300.0,3300.0,3200.0,3199.0,3200.0,3148.5
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.0,,2300.0,2099.5,1995.0,1995.0,1950.0,1900.0,1995.0,1995.0,1695.0,,1797.5,1625.0,1795.0,1850.0,2100.0,2225.0,2100.0,2047.5,2047.5,2147.5,2100.0,,1995.0,2195.0,2195.0,2295.0,2095.0,2195.0,2047.5,1895.0,1995.0,1495.0,1795.0,2325.0,2300.0,2300.0,2300.0,2200.0,2095.0,2097.5,2095.0,2095.0,2047.5,1995.0,1995.0,1947.5,2045.0,2045.0,1995.0,1997.5,1997.5,1900.0,1650.0,2197.5,2100.0,2100.0,2177.0,1900.0,1895.0,2000.0,1997.5,,1997.5,1995.0,1822.5,2000.0,2095.0,2072.5,2000.0,2152.0,2212.0,2100.0,2195.0,2000.0,2000.0,2195.0,2124.5,,2614.5,2407.0,,,,,2500.0,2400.0,2500.0,2557.0,2514.0,2600.0,,2400.0,,,2450.0,2700.0,2100.0,2050.0,2275.0,2275.0,2495.0,2937.0,2887.0,2887.0,,2350.0,2350.0,,3175.0,2850.0,2850.0,2650.0,2400.0,2362.5,2250.0,2299.0,,2650.0,,,,2550.0,2600.0,2425.0,2350.0,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075.0,1075.0,1187.5,1200.0,1075.0,1137.5,,,,,,,,,,,,,,,,,,,,,,1395.0,1625.0,1575.0,,,,2200.0,1725.0,1800.0,1750.0,1700.0,1450.0,,1550.0,1725.0,1775.0,1775.0,2000.0,1850.0,1612.5,1700.0,1700.0,1750.0,2000.0,2000.0,1897.5,1745.0,1950.0,2025.0,2175.0,2250.0,2050.0,2097.5,2000.0,2200.0,2200.0,1900.0,1900.0,2100.0,1950.0,1850.0,1950.0,1950.0,2000.0,1975.0,1950.0,1850.0,1897.5,2000.0,1847.5,1875.0,1950.0,1999.5,2022.5,2000.0,1850.0,1700.0,1675.0,1675.0,1750.0,1725.0,1675.0,1700.0,1575.0,1695.0,1675.0,1695.0,1750.0,1799.0,1795.0,1795.0,1850.0,1795.0,1795.0,1795.0,1900.0,2025.0,,1875.0,1800.0,1900.0,2075.0,1795.0,1700.0,1785.0,1695.0,1697.5,1750.0,1799.0,1750.0,1732.5,1799.0,1700.0,1750.0,1699.0,1699.0,1750.0,1750.0,1750.0,1675.0,1850.0,1850.0,1850.0,1795.0,1800.0,1860.0,2074.5,1994.0,1725.0,1700.0,1750.0,1960.0,1981.5,2150.0,2300.0,1900.0,1975.0,2250.0,2324.5,2249.0,2200.0,2200.0,2099.0,2200.0,2125.0,2299.0,2150.0,1975.0,1995.0,2099.0,2150.0,2050.0,1950.0,2500.0,2100.0,1942.5,1895.0,1962.0,1975.0,1997.0,2200.0,2325.0,2250.0,2150.0,2000.0,1995.0
Battery Park City,Manhattan,neighborhood,3495.0,3346.0,3268.0,3295.0,3100.0,3395.0,3200.0,3225.0,3360.0,3415.0,3347.5,3350.0,3300.0,3150.0,3195.0,3367.5,3700.0,3692.5,3625.0,3650.0,3840.0,3850.0,3700.0,3615.0,3400.0,3500.0,3500.0,3600.0,3800.0,3905.0,4450.0,4374.5,4185.0,4050.0,4100.0,3995.0,3800.0,3500.0,3500.0,3567.5,3875.0,3995.0,3850.0,3850.0,3862.5,3995.0,3850.0,3895.0,3900.0,4012.5,4100.0,3550.0,3695.0,4650.0,4300.0,4197.5,4500.0,4062.5,3897.5,3595.0,3800.0,3950.0,4000.0,4150.0,4535.0,4662.5,4700.0,4795.0,4750.0,4750.0,5100.0,4750.0,4611.0,4600.0,4595.0,4825.0,4600.0,4675.0,4650.0,4765.0,4750.0,4250.0,4050.0,4025.0,4175.0,3995.0,3910.0,3995.0,4350.0,4392.5,4515.0,4375.0,4485.0,4685.0,3890.0,3950.0,4150.0,4077.5,4050.0,4275.0,4647.5,4520.0,4650.0,4854.0,4992.5,4854.0,4500.0,4365.0,4415.0,4495.0,4300.0,4400.0,4942.5,5120.0,5189.5,4750.0,4675.0,4895.0,5250.0,4985.0,4431.0,4190.0,4200.0,4295.0,4500.0,4500.0,4275.0,4228.5,4190.0,3995.0,3750.0,3850.0,3800.0,3960.0,3997.0,4000.0,3995.0,4140.0,4300.0,4520.0,4400.0,4252.5,4660.0,5260.0,5044.0,5100.0,4757.5,4740.0,5080.0,5250.0,5612.5,5600.0,5300.0,5312.5,5047.5,5325.0,5412.5,5695.0,5437.5,5500.0,5757.5,5545.0,5900.0,5995.0,5850.0,5995.0,5450.0,5300.0,5395.0,4940.0,4830.0,5770.0,5402.5,5500.0,5992.0,5850.0,5972.0,5450.0,4775.5,4900.0,5085.0,4985.0,4995.0,5061.5,5375.0,5332.0,5400.0,5500.0,5345.0,5224.0,5118.0,5100.0
Bay Ridge,Brooklyn,neighborhood,1350.0,1375.0,1350.0,1350.0,1350.0,1350.0,1300.0,1300.0,1300.0,1400.0,1475.0,1450.0,1425.0,1425.0,1450.0,1500.0,1560.0,1510.0,1650.0,1750.0,1750.0,1550.0,1750.0,1600.0,1650.0,1495.0,1495.0,1700.0,1875.0,1450.0,1450.0,1497.5,1800.0,1725.0,1800.0,1925.0,1550.0,1497.5,1925.0,1795.0,1625.0,1600.0,1750.0,1650.0,1750.0,1650.0,1650.0,1650.0,1600.0,1600.0,1575.0,1600.0,1875.0,1900.0,1900.0,1800.0,1849.5,1800.0,1800.0,1745.0,1700.0,1700.0,1749.0,1800.0,1800.0,1800.0,1800.0,1850.0,1899.0,1850.0,1850.0,1885.0,1900.0,2000.0,2000.0,2000.0,2000.0,2100.0,2000.0,2100.0,2050.0,2100.0,2100.0,2100.0,2000.0,2000.0,1950.0,1975.0,2000.0,2000.0,2000.0,1895.0,1895.0,1900.0,1825.0,1850.0,2000.0,1995.0,1900.0,1962.5,1950.0,1950.0,1850.0,1995.0,2000.0,2000.0,1980.0,1900.0,1900.0,1999.0,2000.0,1980.0,1950.0,1900.0,1900.0,1950.0,1895.0,1900.0,2000.0,1925.0,1900.0,2000.0,2100.0,2050.0,1997.0,2000.0,2000.0,1950.0,1950.0,1850.0,1800.0,1775.0,1750.0,1750.0,1799.5,1750.0,1750.0,1750.0,1750.0,1800.0,1795.0,1775.0,1800.0,1775.0,1850.0,1900.0,1900.0,2000.0,2150.0,2250.0,2175.0,2337.5,2300.0,2200.0,2100.0,2200.0,2350.0,2312.0,2200.0,2150.0,2200.0,2299.0,2275.0,2387.5,2500.0,2400.0,2395.0,2400.0,2275.0,2300.0,2250.0,2250.0,2300.0,2400.0,2450.0,2400.0,2400.0,2300.0,2350.0,2350.0,2350.0,2500.0,2400.0,2500.0,2400.0,2500.0,2500.0,2600.0,2418.0,2500.0,2500.0,2597.5
